Name,Type,Data Type,Address
PUWS_AL2_B1_LEFT,Output,Bool,Coil 50
PAS_AL2_PLUS,Output,Bool,Coil 51
PAS_AL2_TURN,Output,Bool,Coil 52
RP_AL2_ST_CLAMP,Output,Bool,Coil 53
AL2_ST_GRAB,Output,Bool,Coil 54
AL2_EMIT,Output,Bool,Coil 55
RC_AL2_ST,Output,Bool,Coil 56
RC_AL2_G7,Output,Bool,Coil 57
AL2_G_SC_LT,Output,Bool,Coil 58
AL2_G_SC_LIFT,Output,Bool,Coil 59
AL2_G_SC_RT,Output,Bool,Coil 60
PAS_AL2_ST_TURN,Output,Bool,Coil 61
BC_AL1_3 (4m),Output,Bool,Coil 71
BC_AL1_B1 (2m),Output,Bool,Coil 72
BC_AL1_B2 (2m),Output,Bool,Coil 73
BC_AL1_B3 (2m),Output,Bool,Coil 74
BC_AL1_B4 (4m),Output,Bool,Coil 75
BC_AL1_L1 (2m),Output,Bool,Coil 76
BC_AL1_L2 (2m),Output,Bool,Coil 77
BC_AL1_L3 (2m),Output,Bool,Coil 78
BC_AL1_L4 (4m),Output,Bool,Coil 79
BC_AL1_4_BI (2m),Output,Bool,Coil 80
Belt Conveyor (2m) 1,Output,Bool,Coil 81
Belt Conveyor (2m) 2,Output,Bool,Coil 82
Belt Conveyor (2m) 3,Output,Bool,Coil 83
Belt Conveyor (2m) 4,Output,Bool,Coil 84
Belt Conveyor (2m) 5,Output,Bool,Coil 85
Belt Conveyor (2m) 6,Output,Bool,Coil 86
Belt Conveyor (2m) 7,Output,Bool,Coil 87
Belt Conveyor (2m) 8,Output,Bool,Coil 88
Belt Conveyor (2m) 9,Output,Bool,Coil 89
Belt Conveyor (4m) 1,Output,Bool,Coil 90
Belt Conveyor (4m) 2,Output,Bool,Coil 91
Belt Conveyor (4m) 4,Output,Bool,Coil 92
Belt Conveyor (4m) 5,Output,Bool,Coil 93
Belt Conveyor (4m) 6,Output,Bool,Coil 94
Belt Conveyor (4m) 8,Output,Bool,Coil 95
Belt Conveyor (4m) 9,Output,Bool,Coil 96
Belt Conveyor (6m) 1,Output,Bool,Coil 97
Belt Conveyor (6m) 2,Output,Bool,Coil 98
Belt Conveyor (6m) 3,Output,Bool,Coil 99
Belt Conveyor (6m) 4,Output,Bool,Coil 100
Belt Conveyor (6m) 5,Output,Bool,Coil 101
Belt Conveyor (6m) 6,Output,Bool,Coil 102
Belt Conveyor (6m) 7,Output,Bool,Coil 103
Belt Conveyor (6m) 8,Output,Bool,Coil 104
Belt Conveyor (6m) 9,Output,Bool,Coil 105
Belt Conveyor (2m) 10,Output,Bool,Coil 106
Belt Conveyor (2m) 11,Output,Bool,Coil 107
Belt Conveyor (2m) 12,Output,Bool,Coil 108
Belt Conveyor (2m) 14,Output,Bool,Coil 109
Belt Conveyor (2m) 20,Output,Bool,Coil 110
Belt Conveyor (2m) 21,Output,Bool,Coil 111
Belt Conveyor (2m) 22,Output,Bool,Coil 112
Belt Conveyor (2m) 23,Output,Bool,Coil 113
Belt Conveyor (2m) 24,Output,Bool,Coil 114
Belt Conveyor (2m) 25,Output,Bool,Coil 115
Belt Conveyor (2m) 26,Output,Bool,Coil 116
Belt Conveyor (2m) 27,Output,Bool,Coil 117
Belt Conveyor (2m) 28,Output,Bool,Coil 118
Belt Conveyor (2m) 29,Output,Bool,Coil 119
Belt Conveyor (2m) 30,Output,Bool,Coil 120
Belt Conveyor (2m) 31,Output,Bool,Coil 121
Belt Conveyor (2m) 32,Output,Bool,Coil 122
Belt Conveyor (2m) 33,Output,Bool,Coil 123
Belt Conveyor (2m) 34,Output,Bool,Coil 124
Belt Conveyor (2m) 35,Output,Bool,Coil 125
Belt Conveyor (2m) 36,Output,Bool,Coil 126
Belt Conveyor (2m) 37,Output,Bool,Coil 127
Belt Conveyor (2m) 38,Output,Bool,Coil 128
Belt Conveyor (2m) 39,Output,Bool,Coil 129
Belt Conveyor (2m) 40,Output,Bool,Coil 130
Belt Conveyor (2m) 41,Output,Bool,Coil 131
Belt Conveyor (4m) 10,Output,Bool,Coil 132
Belt Conveyor (4m) 11,Output,Bool,Coil 133
Belt Conveyor (4m) 12,Output,Bool,Coil 134
Belt Conveyor (4m) 13,Output,Bool,Coil 135
Belt Conveyor (4m) 14,Output,Bool,Coil 136
Belt Conveyor (4m) 15,Output,Bool,Coil 137
Belt Conveyor (4m) 16,Output,Bool,Coil 138
Belt Conveyor (4m) 17,Output,Bool,Coil 139
Belt Conveyor (4m) 19,Output,Bool,Coil 140
Belt Conveyor (4m) 20,Output,Bool,Coil 141
Belt Conveyor (6m) 10,Output,Bool,Coil 142
Belt Conveyor (6m) 11,Output,Bool,Coil 143
Belt Conveyor (6m) 12,Output,Bool,Coil 144
Belt Conveyor (6m) 13,Output,Bool,Coil 145
Belt Conveyor (6m) 14,Output,Bool,Coil 146
Belt Conveyor (6m) 15,Output,Bool,Coil 147
Belt Conveyor (6m) 16,Output,Bool,Coil 148
Belt Conveyor (6m) 17,Output,Bool,Coil 149
Belt Conveyor (6m) 18,Output,Bool,Coil 150
Belt Conveyor (6m) 19,Output,Bool,Coil 151
Belt Conveyor (6m) 20,Output,Bool,Coil 152
Belt Conveyor (6m) 21,Output,Bool,Coil 153
Belt Conveyor (6m) 22,Output,Bool,Coil 154
Belt Conveyor Inclined 1,Output,Bool,Coil 155
Belt Conveyor Inclined 2,Output,Bool,Coil 156
Conveyor Scale 1 (-),Output,Bool,Coil 157
Conveyor Scale 2 (-),Output,Bool,Coil 158
Curved Belt Conveyor 3 CW,Output,Bool,Coil 159
Curved Belt Conveyor 4 CW,Output,Bool,Coil 160
Curved Belt Conveyor 5 CW,Output,Bool,Coil 161
